____________________________________________________________
Running Process at :Sun Feb  9 13:53:32 2020____________________________________________________________
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 6640, 'username': None, 'name': 'sedlauncher.exe'}
{'pid': 6672, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'python.exe'}
{'pid': 6708, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'sihost.exe'}
{'pid': 6776, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'jusched.exe'}
{'pid': 7248, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 7268, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 7300, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'fsnotifier64.exe'}
{'pid': 7320, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 7444, 'username': None, 'name': 'SearchProtocolHost.exe'}
{'pid': 7516, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'ApplicationFrameHost.exe'}
{'pid': 7524, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'NPAV4.EXE'}
{'pid': 7580, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'conhost.exe'}
{'pid': 7760, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'winpty-agent.exe'}
{'pid': 7956, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'conhost.exe'}
{'pid': 8160, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 8164, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'ShellExperienceHost.exe'}
{'pid': 8264, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 8272, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 8296, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 8532, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'cmd.exe'}
{'pid': 8548, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'notepad++.exe'}
{'pid': 8848, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'dllhost.exe'}
{'pid': 8912, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 9116, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
